
---------- Begin Simulation Statistics ----------
sim_seconds                                  0.504612                       # Number of seconds simulated
sim_ticks                                504612459500                       # Number of ticks simulated
final_tick                               3741162140500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
host_inst_rate                                 106203                       # Simulator instruction rate (inst/s)
host_op_rate                                   126398                       # Simulator op (including micro ops) rate (op/s)
host_tick_rate                               17166707                       # Simulator tick rate (ticks/s)
host_mem_usage                                2659600                       # Number of bytes of host memory used
host_seconds                                 29394.83                       # Real time elapsed on the host
sim_insts                                  3121809829                       # Number of instructions simulated
sim_ops                                    3715453092                       # Number of ops (including micro ops) simulated
system.voltage_domain.voltage                       1                       # Voltage in Volts
system.clk_domain.clock                          1000                       # Clock period in ticks
system.mem_ctrls.pwrStateResidencyTicks::UNDEFINED 3741162140500                       # Cumulative time (in ticks) in various power states
system.mem_ctrls.bytes_read::l2.prefetcher    463833536                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::switch_cpus0.dtb.walker      4507392                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::switch_cpus0.itb.walker        26496                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::switch_cpus0.inst     11740736                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::switch_cpus0.data    246811904                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::switch_cpus1.dtb.walker       245568                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::switch_cpus1.itb.walker        87424                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::switch_cpus1.inst     15506496                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::switch_cpus1.data      5981504                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::switch_cpus2.dtb.walker       480256                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::switch_cpus2.itb.walker        24640                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::switch_cpus2.inst     24042752                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::switch_cpus2.data     52331456                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::switch_cpus3.dtb.walker       161472                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::switch_cpus3.itb.walker        42624                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::switch_cpus3.inst     39129536                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::switch_cpus3.data      7316288                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::total          872270080                       # Number of bytes read from this memory
system.mem_ctrls.bytes_inst_read::switch_cpus0.inst     11740736                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::switch_cpus1.inst     15506496                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::switch_cpus2.inst     24042752                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::switch_cpus3.inst     39129536                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::total      90419520                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_written::writebacks    555068224                       # Number of bytes written to this memory
system.mem_ctrls.bytes_written::total       555068224                       # Number of bytes written to this memory
system.mem_ctrls.num_reads::l2.prefetcher      7247399                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::switch_cpus0.dtb.walker        70428                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::switch_cpus0.itb.walker          414                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::switch_cpus0.inst       183449                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::switch_cpus0.data      3856436                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::switch_cpus1.dtb.walker         3837                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::switch_cpus1.itb.walker         1366                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::switch_cpus1.inst       242289                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::switch_cpus1.data        93461                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::switch_cpus2.dtb.walker         7504                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::switch_cpus2.itb.walker          385                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::switch_cpus2.inst       375668                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::switch_cpus2.data       817679                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::switch_cpus3.dtb.walker         2523                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::switch_cpus3.itb.walker          666                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::switch_cpus3.inst       611399                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::switch_cpus3.data       114317                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::total            13629220                       # Number of read requests responded to by this memory
system.mem_ctrls.num_writes::writebacks       8672941                       # Number of write requests responded to by this memory
system.mem_ctrls.num_writes::total            8672941                       # Number of write requests responded to by this memory
system.mem_ctrls.bw_read::l2.prefetcher     919187640                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::switch_cpus0.dtb.walker      8932383                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::switch_cpus0.itb.walker        52508                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::switch_cpus0.inst     23266837                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::switch_cpus0.data    489111791                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::switch_cpus1.dtb.walker       486647                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::switch_cpus1.itb.walker       173250                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::switch_cpus1.inst     30729515                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::switch_cpus1.data     11853659                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::switch_cpus2.dtb.walker       951732                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::switch_cpus2.itb.walker        48830                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::switch_cpus2.inst     47645974                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::switch_cpus2.data    103706230                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::switch_cpus3.dtb.walker       319992                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::switch_cpus3.itb.walker        84469                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::switch_cpus3.inst     77543737                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::switch_cpus3.data     14498826                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_read::total            1728594020                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_inst_read::switch_cpus0.inst     23266837                       # Instruction read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_inst_read::switch_cpus1.inst     30729515                       # Instruction read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_inst_read::switch_cpus2.inst     47645974                       # Instruction read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_inst_read::switch_cpus3.inst     77543737                       # Instruction read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_inst_read::total        179186063                       # Instruction read bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_write::writebacks      1099989137                       # Write bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_write::total           1099989137                       # Write bandwidth from this memory (bytes/s)
system.mem_ctrls.bw_total::writebacks      1099989137                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::l2.prefetcher    919187640                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::switch_cpus0.dtb.walker      8932383                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::switch_cpus0.itb.walker        52508                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::switch_cpus0.inst     23266837                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::switch_cpus0.data    489111791                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::switch_cpus1.dtb.walker       486647                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::switch_cpus1.itb.walker       173250                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::switch_cpus1.inst     30729515                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::switch_cpus1.data     11853659                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::switch_cpus2.dtb.walker       951732                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::switch_cpus2.itb.walker        48830                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::switch_cpus2.inst     47645974                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::switch_cpus2.data    103706230                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::switch_cpus3.dtb.walker       319992                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::switch_cpus3.itb.walker        84469                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::switch_cpus3.inst     77543737                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::switch_cpus3.data     14498826                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.bw_total::total           2828583157                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls.readReqs                    13629219                       # Number of read requests accepted
system.mem_ctrls.writeReqs                    8672941                       # Number of write requests accepted
system.mem_ctrls.readBursts                  13629219                       # Number of DRAM read bursts, including those serviced by the write queue
system.mem_ctrls.writeBursts                  8672941                       # Number of DRAM write bursts, including those merged in the write queue
system.mem_ctrls.bytesReadDRAM              871870336                       # Total number of bytes read from DRAM
system.mem_ctrls.bytesReadWrQ                  399680                       # Total number of bytes read from write queue
system.mem_ctrls.bytesWritten               555066624                       # Total number of bytes written to DRAM
system.mem_ctrls.bytesReadSys               872270016                       # Total read bytes from the system interface side
system.mem_ctrls.bytesWrittenSys            555068224                       # Total written bytes from the system interface side
system.mem_ctrls.servicedByWrQ                   6245                       # Number of DRAM read bursts serviced by the write queue
system.mem_ctrls.mergedWrBursts                     2                       # Number of DRAM write bursts merged with an existing one
system.mem_ctrls.neitherReadNorWriteReqs            0                       # Number of requests that are neither read nor write
system.mem_ctrls.perBankRdBursts::0            931720                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::1            845607                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::2            888105                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::3            786422                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::4            772141                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::5            787467                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::6            835335                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::7            927123                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::8            934585                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::9            837855                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::10           916042                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::11           790787                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::12           766062                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::13           901809                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::14           854040                       # Per bank write bursts
system.mem_ctrls.perBankRdBursts::15           847874                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::0            556638                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::1            527513                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::2            568097                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::3            529471                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::4            539495                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::5            538725                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::6            549154                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::7            553624                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::8            542457                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::9            547660                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::10           539537                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::11           526528                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::12           539611                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::13           524030                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::14           553955                       # Per bank write bursts
system.mem_ctrls.perBankWrBursts::15           536421                       # Per bank write bursts
system.mem_ctrls.numRdRetry                         0                       # Number of times read queue was full causing retry
system.mem_ctrls.numWrRetry                      1300                       # Number of times write queue was full causing retry
system.mem_ctrls.totGap                  504612417500                       # Total gap between requests
system.mem_ctrls.readPktSize::0                     0                       # Read request sizes (log2)
system.mem_ctrls.readPktSize::1                     0                       # Read request sizes (log2)
system.mem_ctrls.readPktSize::2                     0                       # Read request sizes (log2)
system.mem_ctrls.readPktSize::3                     0                       # Read request sizes (log2)
system.mem_ctrls.readPktSize::4                     0                       # Read request sizes (log2)
system.mem_ctrls.readPktSize::5                     0                       # Read request sizes (log2)
system.mem_ctrls.readPktSize::6              13629219                       # Read request sizes (log2)
system.mem_ctrls.writePktSize::0                    0                       # Write request sizes (log2)
system.mem_ctrls.writePktSize::1                    0                       # Write request sizes (log2)
system.mem_ctrls.writePktSize::2                    0                       # Write request sizes (log2)
system.mem_ctrls.writePktSize::3                    0                       # Write request sizes (log2)
system.mem_ctrls.writePktSize::4                    0                       # Write request sizes (log2)
system.mem_ctrls.writePktSize::5                    0                       # Write request sizes (log2)
system.mem_ctrls.writePktSize::6              8672941                       # Write request sizes (log2)
system.mem_ctrls.rdQLenPdf::0                 2804444                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::1                 3397312                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::2                 1746194                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::3                 1264116                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::4                 1019614                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::5                  810391                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::6                  662534                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::7                  600042                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::8                  524095                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::9                  395431                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::10                 233283                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::11                 101186                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::12                  38560                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::13                  20206                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::14                   4435                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::15                   1131                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::16                      0                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::17                      0                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::18                      0                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::19                      0                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::20                      0                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::21                      0                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::22                      0                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::23                      0                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::24                      0                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::25                      0                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::26                      0                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::27                      0                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::28                      0                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::29                      0                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::30                      0                       # What read queue length does an incoming req see
system.mem_ctrls.rdQLenPdf::31                      0                       # What read queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::0                       1                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::1                       1                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::2                       1                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::3                       1                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::4                       1                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::5                       1                       # What write queue length does an incoming req see
system.mem_ctrls.wrQLenPdf::6                       1                       # What write queue length does an incoming req see
